home_elo,away_elo,elo_diff,home_form,away_form,form_diff,home_advantage,is_neutral,target,date,home_team,away_team,weight
1219.4964314228462,1487.5721917728015,-268.0757603499553,0.1,0.7,-0.6,0,1,0,2018-06-01,Malta,Georgia,0.2
1392.716173486481,1214.3166694744157,178.39950401206534,0.6,0.8,-0.20000000000000007,1,0,2,2018-06-01,India,Taiwan,1.0
1521.6048161270926,1450.6363229316541,70.96849319543844,0.5,0.4,0.09999999999999998,0,1,1,2018-06-01,Angola,Malawi,1.0
1429.6955620150068,1333.2807476498883,96.41481436511845,0.8,0.6,0.20000000000000007,0,1,2,2018-06-01,Botswana,Mauritius,1.0
1714.3668321908392,1710.3691857467697,3.99764644406946,0.6,0.4,0.19999999999999996,0,1,1,2018-06-01,Colombia,Egypt,0.2
1790.3301892044578,1539.9381928356913,250.3919963687665,0.5,0.5,0.0,1,0,0,2018-06-01,South Korea,Bosnia and Herzegovina,0.2
1616.1882362757378,1787.7704616348678,-171.58222535913,0.8,0.6,0.20000000000000007,0,1,0,2018-06-01,Czech Republic,Australia,0.2
1703.684396812186,1700.4077810168883,3.27661579529763,0.5,0.8,-0.30000000000000004,0,1,1,2018-06-01,Turkey,Tunisia,0.2
1871.2379616494422,1758.022041190384,113.21592045905822,0.7,0.4,0.29999999999999993,1,0,2,2018-06-01,France,Italy,0.2
1691.3648188975772,1582.7690365041367,108.59578239344046,0.6,0.4,0.19999999999999996,1,0,0,2018-06-01,Algeria,Cape Verde,0.2
1312.501433797618,1332.4230632774118,-19.921629479793864,0.3,0.5,-0.2,1,0,2,2018-06-02,Latvia,Estonia,1.0
1504.4417543234215,1494.7887409712414,9.653013352180096,0.5,0.2,0.3,0,1,0,2018-06-02,Panjab,Western Armenia,1.0
1497.6393535981263,1494.0773663427642,3.5619872553620553,0.5,0.0,0.5,0,1,1,2018-06-02,United Koreans in Japan,Kabylia,1.0
1555.2183841705837,1448.8178929331234,106.4004912374603,0.7,0.4,0.29999999999999993,0,1,2,2018-06-02,Padania,Tuvalu,1.0
1484.4732805932226,1500.0232421712233,-15.549961578000648,0.7,0.0,0.7,0,1,2,2018-06-02,Székely Land,Matabeleland,1.0
1539.6055629810605,1459.4254244540296,80.18013852703098,0.7,0.2,0.49999999999999994,0,1,2,2018-06-02,Northern Cyprus,Tibet,1.0
1526.070518407835,1512.5441648737403,13.526353534094596,0.4,0.5,-0.09999999999999998,0,1,0,2018-06-02,Abkhazia,Kárpátalja,1.0
1487.4076368382823,1503.6222021352303,-16.214565296947967,0.4,0.0,0.4,1,0,0,2018-06-02,Barawa,Cascadia,1.0
1511.8385983162214,1509.152691449467,2.6859068667542942,0.6,0.8,-0.20000000000000007,0,1,2,2018-06-02,Ellan Vannin,Tamil Eelam,1.0
1477.719968135531,1692.7178040390795,-214.99783590354855,0.4,0.2,0.2,0,1,2,2018-06-02,Kenya,New Zealand,1.0
1421.159066912628,1365.140034597544,56.01903231508413,0.2,0.4,-0.2,0,1,2,2018-06-02,Lesotho,Eswatini,1.0
1841.1514562158623,1685.4165823796268,155.73487383623547,0.7,0.5,0.19999999999999996,1,0,2,2018-06-02,England,Nigeria,0.2
1485.9358515685144,1666.7411350676111,-180.80528349909673,0.5,0.6,-0.09999999999999998,1,0,0,2018-06-02,Iceland,Norway,0.2
1512.855993826728,1591.5524068231398,-78.69641299641171,0.5,0.4,0.09999999999999998,0,1,2,2018-06-02,El Salvador,Honduras,0.2
1526.835162731219,1463.8717347159247,62.96342801529431,0.4,0.7,-0.29999999999999993,0,1,1,2018-06-02,Zambia,Namibia,1.0
1450.744237934389,1560.5853186374563,-109.84108070306729,0.3,0.3,0.0,1,0,0,2018-06-02,Montenegro,Slovenia,0.2
1767.8732822234062,1652.4945785230695,115.3787037003367,0.7,0.3,0.39999999999999997,1,0,2,2018-06-02,Mexico,Scotland,0.2
1537.6665551463948,1575.595242698563,-37.928687552168185,0.5,0.3,0.2,1,0,0,2018-06-02,Thailand,China,0.2
1579.3004642510296,1729.585238615326,-150.28477436429648,0.3,0.6,-0.3,1,0,2,2018-06-02,Republic of Ireland,United States,0.2
1767.5728336805353,1803.1935972537701,-35.62076357323485,0.9,0.6,0.30000000000000004,1,0,1,2018-06-02,Belgium,Portugal,0.2
1636.9045999503296,1823.400894286098,-186.49629433576843,1.0,0.5,0.5,1,0,2,2018-06-02,Austria,Germany,0.2
1462.255960168134,1563.6595487667164,-101.40358859858247,0.6,0.5,0.09999999999999998,1,0,2,2018-06-02,Niger,Uganda,0.2
1621.9632239638217,1703.500371604188,-81.53714764036636,0.4,0.6,-0.19999999999999996,1,0,1,2018-06-02,Sweden,Denmark,0.2
1477.8739910153442,1521.7612932423058,-43.88730222696154,0.4,0.8,-0.4,1,0,2,2018-06-03,Barawa,Ellan Vannin,1.0
1505.0665055615182,1494.1798849853888,10.886620576129417,0.4,0.25,0.15000000000000002,0,1,2,2018-06-03,Western Armenia,Kabylia,1.0
1494.1639897331447,1497.5368349555017,-3.3728452223570002,0.5,0.5,0.0,0,1,1,2018-06-03,Panjab,United Koreans in Japan,1.0
1441.7880669475442,1489.575976903889,-47.78790995634495,0.2,0.0,0.2,0,1,0,2018-06-03,Tuvalu,Matabeleland,1.0
1562.248210156163,1494.9205458605568,67.32766429560616,0.8,0.8,0.0,0,1,2,2018-06-03,Padania,Székely Land,1.0
1522.9332880459042,1451.6930796224765,71.2402084234277,0.7,0.2,0.49999999999999994,0,1,2,2018-06-03,Kárpátalja,Tibet,1.0
1515.681395235671,1547.3379078126136,-31.656512576942532,0.3,0.7,-0.39999999999999997,0,1,1,2018-06-03,Abkhazia,Northern Cyprus,1.0
1499.2299965233826,1513.1558479581684,-13.925851434785727,0.6,0.5,0.09999999999999998,0,1,0,2018-06-03,Tamil Eelam,Cascadia,1.0
1510.2181435765483,1653.3667283135196,-143.14858473697132,0.2,0.6,-0.39999999999999997,0,1,0,2018-06-03,Albania,Ukraine,0.2
1615.5743754302705,1482.3589494567116,133.21542597355892,0.5,0.6,-0.09999999999999998,1,0,1,2018-06-03,South Africa,Madagascar,1.0
1698.09865412845,1565.5956634812753,132.50299064717478,0.5,0.9,-0.4,0,1,0,2018-06-03,Saudi Arabia,Peru,0.2
1908.5903219777008,1725.3080314430115,183.2822905346893,0.8,0.7,0.10000000000000009,1,0,1,2018-06-03,Spain,Switzerland,0.2
